Date,Open,High,Low,Close,Adj Close,Volume
2021-05-01,48017.503906,48626.093750,47464.640625,48110.046875,48110.046875,35637765742
2021-05-02,48108.226563,48172.062500,46707.257813,47088.570313,47088.570313,31744398004
2021-05-03,47079.585938,48963.945313,47073.019531,47432.769531,47432.769531,42882603410
2021-05-04,47444.285156,47444.285156,44272.710938,44387.261719,44387.261719,57063525891
2021-05-05,44319.539063,48266.921875,44082.382813,47823.058594,47823.058594,57664584035
2021-05-06,47837.464844,48438.109375,45928.214844,46742.558594,46742.558594,57622289161
2021-05-07,46757.011719,48207.121094,45848.589844,47155.507813,47155.507813,56262963885
2021-05-08,47152.519531,48888.773438,46842.113281,48345.464844,48345.464844,53754552145
2021-05-09,48405.984375,48680.167969,46436.621094,47846.523438,47846.523438,54152166217
2021-05-10,47861.769531,48969.011719,44531.683594,46010.484375,46010.484375,59120762102
2021-05-11,46000.144531,46813.101563,44963.070313,46692.531250,46692.531250,50483479328
2021-05-12,46700.730469,47802.058594,40695.511719,40695.511719,40695.511719,62276624480
2021-05-13,41179.792969,42440.085938,38911.718750,41166.695313,41166.695313,80088403142
2021-05-14,41139.199219,42387.117188,40433.863281,41072.777344,41072.777344,45895537365
2021-05-15,41052.160156,41692.800781,38419.660156,38498.738281,38498.738281,48708651090
2021-05-16,38462.882813,40935.656250,36193.972656,38235.890625,38235.890625,52714920923
2021-05-17,38202.839844,38381.210938,34720.687500,35814.085938,35814.085938,61615957700
2021-05-18,35773.406250,37621.695313,34661.671875,35106.796875,35106.796875,45970310804
2021-05-19,35135.902344,35623.292969,25122.685547,30403.203125,30403.203125,103822637268
2021-05-20,30198.798828,34775.445313,28776.099609,33359.136719,33359.136719,72212157773
2021-05-21,33207.167969,34471.406250,27599.712891,30627.822266,30627.822266,67365854372
2021-05-22,30682.289063,31880.994141,29050.640625,30818.250000,30818.250000,47107774121
2021-05-23,30813.994141,31436.136719,25635.583984,28545.537109,28545.537109,64420763233
2021-05-24,28487.888672,32608.726563,28367.058594,31689.203125,31689.203125,55148369255
2021-05-25,31762.726563,32553.679688,29847.703125,31356.951172,31356.951172,45899277730
2021-05-26,31349.113281,33317.406250,30937.226563,32229.533203,32229.533203,42115156993
2021-05-27,32248.144531,33136.605469,30561.308594,31524.041016,31524.041016,35439432785
2021-05-28,31581.544922,31880.820313,28524.933594,29278.320313,29278.320313,45273872634
2021-05-29,29267.289063,30538.730469,27634.851563,28391.164063,28391.164063,37097255900
2021-05-30,28384.060547,29854.845703,27492.804688,29269.517578,29269.517578,25961716928
