Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,37350.476563,41319.687500,37313.160156,41192.191406,41192.191406,44727892898
2021-03-02,41176.312500,41606.484375,39066.093750,40032.695313,40032.695313,39330914776
2021-03-03,40063.167969,43555.671875,39945.792969,41952.804688,41952.804688,44179660436
2021-03-04,41939.574219,42899.511719,39813.218750,40578.535156,40578.535156,43739383062
2021-03-05,40550.011719,41470.574219,38919.175781,41076.527344,41076.527344,40823509587
2021-03-06,41052.957031,41244.394531,39658.562500,41047.320313,41047.320313,28837937827
2021-03-07,41052.605469,43084.968750,41052.605469,42935.992188,42935.992188,36170069489
2021-03-08,42908.679688,44139.578125,41620.085938,44086.503906,44086.503906,41007335943
2021-03-09,44108.820313,46082.246094,43888.000000,46082.246094,46082.246094,42794119992
2021-03-10,46082.156250,48033.207031,44874.660156,46969.328125,46969.328125,48048644343
2021-03-11,46931.281250,48472.578125,45614.773438,48247.394531,48247.394531,47385377215
2021-03-12,48260.828125,48397.078125,46400.925781,47962.937500,47962.937500,46589149629
2021-03-13,47972.375000,51604.289063,47031.562500,51235.535156,51235.535156,50755954934
2021-03-14,51217.171875,51532.386719,49624.296875,49624.296875,49624.296875,36736633354
2021-03-15,49595.101563,50651.136719,46427.171875,46876.453125,46876.453125,55690582652
2021-03-16,46820.769531,47739.871094,44903.375000,47727.082031,47727.082031,50201362534
2021-03-17,47744.664063,49206.125000,45834.093750,49129.878906,49129.878906,50287731657
2021-03-18,49148.394531,50395.453125,45520.597656,48546.066406,48546.066406,46773269733
2021-03-19,48538.949219,49977.863281,47535.960938,48839.941406,48839.941406,41069651510
2021-03-20,48827.894531,50250.089844,48728.312500,48812.308594,48812.308594,42156042545
2021-03-21,48809.187500,49192.550781,46872.500000,48405.210938,48405.210938,43709708070
2021-03-22,48400.558594,49095.929688,45497.929688,45699.406250,45699.406250,47369105335
2021-03-23,45684.753906,47231.164063,44838.546875,46230.269531,46230.269531,47662707362
2021-03-24,46206.234375,48454.453125,44467.140625,44675.628906,44675.628906,59738118759
2021-03-25,44635.406250,45187.792969,43093.261719,43907.328125,43907.328125,57745645064
2021-03-26,43889.367188,46749.441406,43801.769531,46749.441406,46749.441406,48033869056
2021-03-27,46749.656250,47962.664063,45991.097656,47458.429688,47458.429688,40076024963
2021-03-28,47459.640625,47875.453125,46699.695313,47471.800781,47471.800781,40460013386
2021-03-29,47469.386719,49509.453125,46820.027344,49071.789063,49071.789063,48965901937
2021-03-30,49071.730469,50642.140625,48656.433594,50257.085938,50257.085938,46415513387
2021-03-31,50267.820313,51103.472656,49192.605469,50240.558594,50240.558594,55870132689
2021-04-01,50247.152344,50761.316406,49843.746094,50172.636719,50172.636719,52357428406
2021-04-02,50175.242188,51184.921875,50011.335938,50497.273438,50497.273438,49939060095
2021-04-03,50508.406250,51117.230469,48985.828125,48985.828125,48985.828125,50718462577
2021-04-04,48986.636719,50099.722656,48610.753906,49933.199219,49933.199219,43127215841
2021-04-05,49935.167969,50707.925781,49086.757813,49976.843750,49976.843750,51371772183
2021-04-06,50073.359375,50336.082031,48681.750000,49008.613281,49008.613281,55632948185
